Altium Designer Pick and Place Locations
G:\µÈ¼¶¿¼ÊÔÍø¿Î\Æ÷²Ä¿ª·¢\02-esp32ÐÂ°æ\1Ö÷°å\Pick Place for 56PCB -1.csv

========================================================================================================================
File Design Information:

Date:       02-09-24
Time:       09:54
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"LED1","LEDÀ¶","TopLayer","COMPONENT_11","161.042","1592.625","90",""
"R23","10K","TopLayer","COMPONENT_10","2367.932","859.885","180",""
"R22","10K","TopLayer","COMPONENT_10","2303.932","796.885","180",""
"R21","1K","TopLayer","COMPONENT_10","2204.932","1598.886","180",""
"R18","510R","TopLayer","COMPONENT_10","1831.042","1097.625","180",""
"R17","510R","TopLayer","COMPONENT_10","1825.042","940.625","180",""
"R2","100K","TopLayer","COMPONENT_10","333.042","383.625","180",""
"R1","510R","TopLayer","COMPONENT_10","164.042","1532.625","90",""
"M1","ESP32-WROOM-32E£¨WIFI&À¶ÑÀÄ£¿é£©","TopLayer","COMPONENT_9","703.916","975.625","90",""
"J29","NC","TopLayer","COMPONENT_8","2540.042","184.625","90",""
"J31","2.54ÅÅÕë2P»ÆÉ«","TopLayer","COMPONENT_7","2654.042","416.625","90",""
"J30","2.54ÅÅÕë2PÀ¶É«","TopLayer","COMPONENT_7","2653.042","536.625","90",""
"J32","2.54ÅÅÕë2P»ÆÉ«","TopLayer","COMPONENT_7","2655.042","1402.625","90",""
"J33","2.54ÅÅÕë2PÀ¶É«","TopLayer","COMPONENT_7","2656.042","1523.625","90",""
"J19","NC","TopLayer","COMPONENT_7","1559.042","1739.625","90",""
"J18","NC","TopLayer","COMPONENT_7","1558.042","1640.625","90",""
"J17","NC","TopLayer","COMPONENT_7","1558.042","1539.625","90",""
"J10","NC","TopLayer","COMPONENT_6","1258.292","1740.875","90",""
"J12","NC","TopLayer","COMPONENT_6","1259.292","1640.875","90",""
"J11","NC","TopLayer","COMPONENT_6","1259.292","1540.875","90",""
"J15","2PÔ²¿×ÅÅÄ¸DS18B20","TopLayer","COMPONENT_5","1484.042","1418.625","90",""
"J8","2PÔ²¿×ÅÅÄ¸DS18B20","TopLayer","COMPONENT_5","687.042","1419.625","90",""
"J4","2.54ÅÅÕë13P»ÆÉ«","TopLayer","COMPONENT_4","711.042","1741.625","90",""
"J3","2.54ÅÅÕë13PºìÉ«","TopLayer","COMPONENT_4","710.042","1641.625","90",""
"J2","2.54ÅÅÕë13PºÚÉ«","TopLayer","COMPONENT_4","710.042","1542.625","90",""
"J25","2.54ÅÅÕë3PºÚÉ«","TopLayer","COMPONENT_3","2075.042","1642.625","90",""
"J23","2.54ÅÅÕë3PºìÉ«","TopLayer","COMPONENT_3","1976.042","1642.625","90",""
"J28","2.54ÅÅÕë3PºÚÉ«","TopLayer","COMPONENT_3","2325.042","309.625","90",""
"J27","2.54ÅÅÕë3PºìÉ«","TopLayer","COMPONENT_3","2224.042","310.625","90",""
"J26","2.54ÅÅÕë3P»ÆÉ«","TopLayer","COMPONENT_3","2125.042","309.625","90",""
"J24","2.54ÅÅÕë3PÀ¶É«","TopLayer","COMPONENT_3","2025.042","311.625","90",""
"J22","2.54ÅÅÕë3PºÚÉ«","TopLayer","COMPONENT_3","1792.042","306.625","90",""
"J21","2.54ÅÅÕë3PºìÉ«","TopLayer","COMPONENT_3","1692.042","307.625","90",""
"J20","2.54ÅÅÕë3P»ÆÉ«","TopLayer","COMPONENT_3","1592.042","307.625","90",""
"J16","2.54ÅÅÕë3PÀ¶É«","TopLayer","COMPONENT_3","1492.042","307.625","90",""
"J14","2.54ÅÅÕë3PÂÌÉ«","TopLayer","COMPONENT_3","1392.042","307.625","90",""
"J13","2.54ÅÅÕë3P°×É«","TopLayer","COMPONENT_3","1292.042","307.625","90",""
"J9","4PÔ²¿×ÅÅÄ¸DS18B20","TopLayer","COMPONENT_2","1087.042","531.625","90",""
"J7","2.54ÅÅÕë6PºÚÉ«","TopLayer","COMPONENT_1","707.042","406.625","90",""
"J5","2.54ÅÅÕë6PºìÉ«","TopLayer","COMPONENT_1","705.042","308.625","90",""
"J6","2.54ÅÅÕë6PÀ¶É«","TopLayer","COMPONENT_1","707.042","206.625","90",""
